письмецо	пись:ROOT/м:ROOT/ец:SUFF/о:END
пыльцесмесь	пыль:ROOT/ц:ROOT/е:LINK/с:PREF/месь:ROOT
почвоухудшающий	почв:ROOT/о:LINK/у:PREF/худ:ROOT/ш:ROOT/а:SUFF/ющ:SUFF/ий:END
медвежоночек	медвеж:ROOT/оноч:ROOT/ек:SUFF
бочоночек	боч:ROOT/оноч:ROOT/ек:SUFF
девчоночка	дев:ROOT/ч:SUFF/оноч:ROOT/к:SUFF/а:END
бочоночный	боч:ROOT/оноч:ROOT/н:SUFF/ый:END

двухдюймовка	дв:ROOT/ух:ROOT/дюйм:ROOT/ов:SUFF/к:SUFF/а:END
двухкилометровый	дв:ROOT/ух:ROOT/кило:ROOT/метр:ROOT/ов:SUFF/ый:END
двухфунтовый	дв:ROOT/ух:ROOT/фунт:ROOT/ов:SUFF/ый:END
двухсоттысячный	дв:ROOT/ух:ROOT/сот:ROOT/тысяч:ROOT/н:SUFF/ый:END
двухколейный	дв:ROOT/ух:ROOT/колей:ROOT/н:SUFF/ый:END
двухствольный	дв:ROOT/ух:ROOT/стволь:ROOT/н:SUFF/ый:END
двухрядный	дв:ROOT/ух:ROOT/ряд:ROOT/н:SUFF/ый:END
двухярусный	дв:ROOT/ух:ROOT/ярус:ROOT/н:SUFF/ый:END
двадцатидвухлетний	дв:ROOT/а:SUFF/дцат:ROOT/и:SUFF/дв:ROOT/ух:ROOT/лет:ROOT/н:SUFF/ий:END
двухлитровый	дв:ROOT/ух:ROOT/литр:ROOT/ов:SUFF/ый:END
двухдюймовый	дв:ROOT/ух:ROOT/дюйм:ROOT/ов:SUFF/ый:END
двухтомник	дв:ROOT/ух:ROOT/том:ROOT/ник:SUFF
двухмесячник	дв:ROOT/ух:ROOT/месяч:ROOT/ник:SUFF
двухверстка	дв:ROOT/ух:ROOT/верст:ROOT/к:SUFF/а:END
двухлемешный	дв:ROOT/ух:ROOT/лемеш:ROOT/н:SUFF/ый:END
двухигольный	дв:ROOT/ух:ROOT/иголь:ROOT/н:SUFF/ый:END
двухсотлетний	дв:ROOT/ух:ROOT/сот:ROOT/лет:ROOT/н:SUFF/ий:END
двухзональный	дв:ROOT/ух:ROOT/зон:ROOT/альн:SUFF/ый:END
двухоконный	дв:ROOT/ух:ROOT/окон:ROOT/н:SUFF/ый:END
двухкамерный	дв:ROOT/ух:ROOT/камер:ROOT/н:SUFF/ый:END
двухпалубный	дв:ROOT/ух:ROOT/палуб:ROOT/н:SUFF/ый:END
двухсторонность	дв:ROOT/ух:ROOT/сторон:ROOT/н:SUFF/ость:SUFF
двухместный	дв:ROOT/ух:ROOT/мест:ROOT/н:SUFF/ый:END
